SMILES,ID,Database
CC(C)C(=O)c1c(c(c(c2c1O[C@@](C=C2)(C)CCC=C(C)C)O)CC3=C(C(C=C(C3=O)C(=O)C(C)C)(C)C)O)O,17_3_1_7_8,AfroDb
CC(=CCOc1cc2cc3c(c(c2c(c1)O)O)C(=O)C[C@@](C3)(C)OC(=O)C)C,17_3_1_7_9,AfroDb
C[N@]1CCc2cc(c(cc2[C@@H]1Cc3ccccc3O)Cc4c5c(cc(c4OC)OC)[C@@H]6c7cc(c(cc7[C@H](C5)C[N@]6C)OC)OC)OC,17_3_1_9_8,AfroDb
C[N@]1CCc2cc(c(cc2[C@@H]1Cc3ccccc3OC)Cc4c5c(cc(c4OC)OC)[C@@H]6c7cc(c(cc7[C@H](C5)C[N@]6C)O)OC)OC,17_3_2_61,AfroDb
C[N@]1CCc2cc(c(cc2[C@@H]1Cc3ccccc3OC)Cc4c5c(cc(c4OC)OC)[C@@H]6c7cc(c(cc7[C@H](C5)C[N@]6C)OC)OC)OC,17_3_2_62,AfroDb
C[N@]1CCc2cc(c(cc2[C@@H]1Cc3ccc(cc3)O)Cc4c5c(cc(c4OC)OC)[C@@H]6c7cc(c(cc7[C@H](C5)C[N@]6C)O)OC)OC,17_3_2_63,AfroDb
CC(C)C1=CC2=CC=C3[C@@](C2=C(C1=O)O)(CC[C@H](C3(C)C)OC(=O)c4ccccc4)C,17_3_2_64,AfroDb
c1ccc2c(c1)[C@@]34CC[N@@]5[C@@H]3[C@@H](C[C@H]6[C@H]4N2C(=O)C(=C6)[C@H]7C[C@@]89c1ccccc1N1[C@H]8[C@H]2[C@H]3C[C@H]9[N@]7CC3=CCO[C@H]2CC1=O)/C(=C/O)/C5,17_3_3_20_23,AfroDb
C=CCSS/C=C/C[S@](=O)CC=C,17_3_3_63,AfroDb
CC(=O)OC[C@H]1[C@]2([C@H]3[C@H](C=CC2=O)C(=O)O[C@@H]3[C@@H]4[C@]1(C5=C[C@H](C[C@@H]5O4)c6ccoc6)C)C,17_3_3_64,AfroDb
CC(=O)O[C@H]1C[C@H]2[C@@](C=CC(=O)C2(C)C)([C@H]3[C@]1([C@@]45[C@@H](O4)C(=O)O[C@@H]([C@]5(CC3)C)c6ccoc6)C)C,17_3_3_65,AfroDb
C/C=C(\C)/C(=O)CO[C@H]1C[C@@H]([C@]2(CO[C@@H]3[C@H]2[C@@]14CO[C@@]([C@@H]4[C@]([C@H]3O)(C)[C@]56C[C@@H]7[C@H]([C@H]5O6)[C@]89[C@@H](O7)OC=C8O9)(COC(=O)C)O)COC(=O)C)OC(=O)C,17_3_4_67,AfroDb
C/C=C/1\C[N@@]2CC[C@@]34Cc5cc(ccc5N([C@@]36[C@@H]2C[C@@H]1[C@@]4(CO6)C(=O)OC)C)O,17_3_4_68,AfroDb
CC(=CCc1cc(ccc1O)/C=C/C(=O)c2cc(c(cc2O)O)CC=C(C)C)C,17_3_4_70,AfroDb
CC1(C=Cc2c(ccc(c2O)C(=O)/C=C/c3ccc(cc3)O)O1)C,17_3_4_73,AfroDb
CC1(C=Cc2cc(ccc2O1)C=CC(=O)c3ccc(cc3O)O)C,17_3_4_74,AfroDb
CC(C)(/C=C/c1c(cc(c2c1oc(=O)cc2)OC)OC)O,17_3_4_75,AfroDb
CC(=C[C@@H]1c2c(c3ccc(c(c3n(c2=O)C)OC)OC)O[C@H]4[C@H]1OCc5c4c(=O)n(c6c5ccc(c6OC)OC)C)C,17_3_6_5,AfroDb
