ID,SMILES,DATABASE_NAME,QED,SA
CHEMBL427,CN(CCCl)CCCl,CHEMBL,0.555740070043485,2.7521786599852494
CHEMBL29,CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,CHEMBL,0.7977632704521287,3.200273387340024
CHEMBL30,CN=C(NC#N)NCCSCc1[nH]cnc1C,CHEMBL,0.2346588097545297,3.5131963895328635
CHEMBL31,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,CHEMBL,0.8502925222174252,3.145831319659667
CHEMBL429,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,CHEMBL,0.5968389616111595,2.8085671704560475
CHEMBL32,COc1c(N2CC3CCCNC3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,CHEMBL,0.8185182971562767,3.5089507613894764
CHEMBL430,CON=C1CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1CN,CHEMBL,0.7304236261034949,3.556039486710893
CHEMBL431,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1CC2(CC1C(=O)O)SCCS2,CHEMBL,0.5358568540176747,4.162199123257025
CHEMBL433,CCCC(CCC)C(=O)O,CHEMBL,0.6423719745530849,2.0289841595749216
CHEMBL434,CC(C)NCC(O)c1ccc(O)c(O)c1,CHEMBL,0.5632719285067509,2.5987423435694286
CHEMBL435,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,CHEMBL,0.6544582690300507,3.211725043379018
CHEMBL35,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,CHEMBL,0.768936392874182,2.2774055637520085
CHEMBL36,CCc1[nH]c(=N)[nH]c(=N)c1-c1ccc(Cl)cc1,CHEMBL,0.6287270947723553,3.0726626538536497
CHEMBL437,Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,CHEMBL,0.782907860113702,3.079582321502178
CHEMBL438,Cc1cc[nH]c(=NS(=O)(=O)c2ccc(N)cc2)n1,CHEMBL,0.7749090706211976,2.883285272145761
CHEMBL439,Nc1ccc(S(=O)(=O)N=c2nccc[nH]2)cc1,CHEMBL,0.7473311045155155,2.8930877356867093
CHEMBL440,C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,CHEMBL,0.4440914917068062,3.7121173450676075
CHEMBL441,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,CHEMBL,0.5777126778981032,3.5639801176962624
CHEMBL442,CN1CC(C(=O)NC2(C)OC3(O)C4CCCN4C(=O)C(Cc4ccccc4)N3C2=O)=CC2c3cccc4[nH]cc(c34)CC21,CHEMBL,0.434070549564617,4.82724227433747
CHEMBL38,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O,CHEMBL,0.5295731957656133,3.111289719637865
CHEMBL7413,C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O,CHEMBL,0.47348972477403223,4.212247296213281
CHEMBL41,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,CHEMBL,0.8517964099245682,2.4483500013071087
CHEMBL443,Cc1cc(=NS(=O)(=O)c2ccc(N)cc2)[nH]o1,CHEMBL,0.7722056051975115,3.127080984459215
CHEMBL42,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,CHEMBL,0.8001222420891723,2.3343691644778524
CHEMBL445,CNCCC=C1c2ccccc2CCc2ccccc21,CHEMBL,0.8299677542138636,2.2264352217278134
CHEMBL446,Cc1cc(C)[nH]c(=NS(=O)(=O)c2ccc(N)cc2)n1,CHEMBL,0.7966614776664314,2.8766166950038077
CHEMBL447,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,CHEMBL,0.5604883600608829,3.4957419604522224
CHEMBL448,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,CHEMBL,0.7067836690245719,3.332149348465494
CHEMBL449,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,CHEMBL,0.6791427219817272,3.3836385565871803
CHEMBL450,CCC1(CC)C(=O)NC(=O)N(C)C1=O,CHEMBL,0.6569080951365892,2.7668421241536763
CHEMBL451,CN=C1C=[N+]([O-])C(c2ccccc2)c2cc(Cl)ccc2N1,CHEMBL,0.6473652899566555,3.6767928451976823
CHEMBL452,O=C1C=NC(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,CHEMBL,0.6808203510566833,3.1726936737636837
CHEMBL453,Cc1[nH]oc(=NS(=O)(=O)c2ccc(N)cc2)c1C,CHEMBL,0.7951632619292833,2.9868207635115382
CHEMBL454,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,CHEMBL,0.5513835393856523,3.009146277546133
CHEMBL455,CC(=O)NS(=O)(=O)c1ccc(N)cc1,CHEMBL,0.6828174314400922,1.8742864068979603
CHEMBL456,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,CHEMBL,0.6438970754146427,2.535282481986057
CHEMBL267744,O=C(O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl,CHEMBL,0.8477638711526184,2.2311336974893408
CHEMBL457,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,CHEMBL,0.7849558299886599,2.0048308106072987
CHEMBL46,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,CHEMBL,0.7280085381147323,3.059982472062159
CHEMBL49,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,CHEMBL,0.551662995519089,2.9974214973831472
CHEMBL459,CC(N)(Cc1ccc(O)c(O)c1)C(=O)O,CHEMBL,0.5430485662212737,2.7489628169422122
CHEMBL460,CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2,CHEMBL,0.917711580112694,3.1678431578087736
CHEMBL53,CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,CHEMBL,0.7213394581196795,2.963391335946424
CHEMBL54,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,CHEMBL,0.759345285057915,2.1227326079667783
CHEMBL55,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,CHEMBL,0.30195782187837944,1.9932846056240958
CHEMBL464,CCOC(=O)C=C(C)C=CC=C(C)C=Cc1c(C)cc(OC)c(C)c1C,CHEMBL,0.36070174388342935,2.8935039949581665
CHEMBL57,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,CHEMBL,0.8617161250864191,2.5944323945817214
CHEMBL465,CCCCCc1cc(O)c2c(c1)OC(C)(C)C1CCC(C)=CC21,CHEMBL,0.5673159936374234,3.4387958852779814
CHEMBL58,OCCN=CCNc1ccc(NCCNCCO)c2c(O)c3c(O)ccc(O)c3c(O)c12,CHEMBL,0.09147626730176313,3.365001742395936
CHEMBL467,NC(O)=NO,CHEMBL,0.1535696304174041,3.2998241864841678
CHEMBL61,COc1cc(C2c3cc4c(cc3C(O)C3COC(=O)C23)OCO4)cc(OC)c1OC,CHEMBL,0.7629173210900769,3.7523244459817278
CHEMBL64,NNC(=O)c1ccncc1,CHEMBL,0.3165786787720106,1.9037221139282607
CHEMBL468,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,CHEMBL,0.7233587999857974,2.597498313427911
CHEMBL469,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,CHEMBL,0.855918702387755,2.6937597067515693
CHEMBL471,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,CHEMBL,0.7241218527557277,2.45313580460358
CHEMBL472,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,CHEMBL,0.51917970894521,2.191595884107798
CHEMBL473,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,CHEMBL,0.5525349937837031,2.1608456907519944
CHEMBL476,CN(C)N=Nc1[nH]cnc1C(N)=O,CHEMBL,0.5105305434356862,3.5643953544044296
CHEMBL477,N=c1[nH]cnc2c1ncn2C1OC(CO)C(O)C1O,CHEMBL,0.41998546210491583,4.159457338497756
CHEMBL479,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,CHEMBL,0.6192081845073194,2.9429509351255057
CHEMBL480,Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1,CHEMBL,0.6986390031308142,3.740254526876221
CHEMBL481,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)C3(O)CC,CHEMBL,0.35595556922918214,3.6325604418224557
CHEMBL70,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,CHEMBL,0.7033474919154648,5.273601698417644
CHEMBL485,COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,CHEMBL,0.7981444096668123,5.161491654952451
CHEMBL71,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,CHEMBL,0.7918053413291345,2.1401928512014
CHEMBL72,CNCCCN1c2ccccc2CCc2ccccc21,CHEMBL,0.8516371541172786,1.9490287028229893
CHEMBL488,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,CHEMBL,0.5969362176118971,2.89801580660607
CHEMBL74,O=C(O)c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)O)cc(=O)c34)cccc2o1,CHEMBL,0.3454134595698074,2.753171861653785
CHEMBL76,CCN(CC)CCCC(C)N=c1cc[nH]c2cc(Cl)ccc12,CHEMBL,0.8131379387634089,3.3689003735155447
CHEMBL490,Fc1ccc(C2CCNCC2COc2ccc3c(c2)OCO3)cc1,CHEMBL,0.9339413767145557,2.9857935445444372
CHEMBL79,CCN(CC)CC(=O)Nc1c(C)cccc1C,CHEMBL,0.8489671904749567,1.8113130701348688
CHEMBL492,CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,CHEMBL,0.8222609245677037,2.650372712464643
CHEMBL80,C=CCN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3(O)C1C5,CHEMBL,0.8015195132508509,5.1783194734208635
CHEMBL81,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,CHEMBL,0.31866432981090165,2.3941419315838566
CHEMBL83,CCC(=C(c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,CHEMBL,0.4505726789966775,2.020166519021636
CHEMBL493,CC(C)CC1C(=O)N2CCCC2C2(O)OC(NC(=O)C3=CC4c5cccc6[nH]c(Br)c(c56)CC4N(C)C3)(C(C)C)C(=O)N12,CHEMBL,0.4562921446436328,5.1326216143661645
CHEMBL494,CC#CCC(C)C(O)C=CC1C(O)CC2CC(=CCCCC(=O)O)CC21,CHEMBL,0.3514175873049406,4.646767160252631
CHEMBL84,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,CHEMBL,0.4865420212105028,3.481037185970772
CHEMBL85,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,CHEMBL,0.6577452185749303,2.73615679135888
CHEMBL86,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,CHEMBL,0.7558132464087878,2.114523487699131
CHEMBL428647,CC(=O)OC1=C2C(C)C(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)CC(O)(C(OC(=O)c3ccccc3)C3C4(OC(C)=O)COC4CC(O)C3(C)C1=O)C2(C)C,CHEMBL,0.1677684609165293,6.029271731881586
CHEMBL495,CCCCCC(O)C=CC1C(O)CC(=O)C1CCCCCCC(=O)O,CHEMBL,0.34761269542578893,3.6722250883342076
CHEMBL496,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,CHEMBL,0.550692990866757,2.7394599403428437
CHEMBL497,Oc1c(I)cc(Cl)c2cccnc12,CHEMBL,0.7583081059543383,2.384955134624212
CHEMBL88,O=P1(N(CCCl)CCCl)NCCCO1,CHEMBL,0.6057206690801091,4.173520934718004
CHEMBL498,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,CHEMBL,0.8794576573550539,1.7986649095997524
CHEMBL499,CC(C)(C)NCC(O)COc1nsnc1N1CCOCC1,CHEMBL,0.790985307512128,3.1914820238156736
CHEMBL500,CC(C)NCC(O)COc1cccc2[nH]ccc12,CHEMBL,0.7315916457547719,2.6513194018886495
CHEMBL276832,NN=c1[nH]ncc2ccccc12,CHEMBL,0.43069901668804367,2.917096286682563
CHEMBL267345,CC1C=CC=CC=CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)CC(O)C(O)CCC(O)CC(O)CC(=O)OC(C)C(C)C1O)CC(O)C2C(=O)O,CHEMBL,0.17352405089329379,7.516697580432913
CHEMBL90,NCCc1c[nH]cn1,CHEMBL,0.560081635014732,3.081238096201208
CHEMBL91,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,CHEMBL,0.4616906207935435,2.863391143499035
CHEMBL92,CC(=O)OC12COC1CC(O)C1(C)C(=O)C(=O)C3C(C)C(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c4ccccc4)CC(O)(C(OC(=O)c4ccccc4)C21)C3(C)C,CHEMBL,0.17072753522222903,6.097660169209306
CHEMBL93,CC(c1cc2ccccc2s1)N(O)C(N)=O,CHEMBL,0.621567647628534,2.992633714099858
CHEMBL95,N=c1c2c([nH]c3ccccc13)CCCC2,CHEMBL,0.6527598032479969,2.535938713209511
CHEMBL502,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,CHEMBL,0.7474614915624849,2.6772217266931317
CHEMBL503,CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,CHEMBL,0.671999391844661,4.690328588437215
CHEMBL504,C[S+](C)[O-],CHEMBL,0.37375297187648615,4.850815354160288
CHEMBL505,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,CHEMBL,0.8240069237957237,2.4708648349566964
CHEMBL506,COc1cc(NC(C)CCCN)c2ncccc2c1,CHEMBL,0.8371289360458547,2.6335930400849
CHEMBL509,Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl,CHEMBL,0.8594044841056042,1.914580600329252
CHEMBL511,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,CHEMBL,0.7817668594270732,2.000750543509092
CHEMBL513,O=NN(CCCl)C(=O)NCCCl,CHEMBL,0.4236058600444414,3.127006946023222
CHEMBL514,O=NN(CCCl)C(=O)NC1CCCCC1,CHEMBL,0.4599613459771248,2.6178012506720485
CHEMBL515,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,CHEMBL,0.7110607782360152,2.20076708575964
CHEMBL516,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1,CHEMBL,0.5791645622326819,2.38400548736427
CHEMBL12856,Nc1cc(-c2ccncc2)c[nH]c1=O,CHEMBL,0.6996440987416698,2.3446109703075226
CHEMBL517,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,CHEMBL,0.8020711980677477,3.027089424152857
CHEMBL98,O=C(CCCCCCC(O)=NO)Nc1ccccc1,CHEMBL,0.22135970227349935,2.072215610191183
CHEMBL521,CC(C)Cc1ccc(C(C)C(=O)O)cc1,CHEMBL,0.8215995486924976,2.1917554204925054
CHEMBL524,COc1ccc(OC)c(C(O)C(C)N)c1,CHEMBL,0.781942163264455,2.7182710099542184
CHEMBL526,CC(C)c1cccc(C(C)C)c1O,CHEMBL,0.7326761559104263,1.9771270803255678
