"""Molecule ChEMBL ID",Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value
"""CHEMBL3109078",,0,348.4,0,3.33,O=C(O)[C@H]1[C@@H](Cc2c[nH]c3ccccc23)CCN1C(=O)c1ccccc1,IC50,'=',73000,nM,4.14
"""CHEMBL1520133",,0,459.53,1,6.38,CN(c1ccccc1)c1ccc(/C=C(\CCC(=O)O)c2nc3ccccc3s2)cc1[N+](=O)[O-],IC50,'=',5340,nM,5.27
"""CHEMBL1505688",,0,483.64,1,5.45,O=C(O)CCCCCN1C(=O)/C(=C\c2cn(-c3ccccc3)nc2-c2cccs2)SC1=S,IC50,'=',6970,nM,5.16
"""CHEMBL3318285",,0,413.57,0,3.93,COc1cc2nc(N3CCCC3)nc(NCCCCCN3CCCC3)c2cc1OC,IC50,'>',100000,nM,
"""CHEMBL4214834",,0,532.61,2,6.07,Cc1ccc(-c2cc(NC3CCN(C)CC3)c3cc(OC(F)(F)F)c(OCCCN4CCCC4)cc3n2)o1,IC50,'=',2080,nM,5.68
"""CHEMBL4212380",,0,508.66,1,4.67,CCc1ccc(-c2cc(NC3CCN(C)CC3)c3cc(OC)c(OCCCN4CCOCC4)cc3n2)o1,IC50,'=',446,nM,6.35
"""CHEMBL4216593",,0,544.74,2,6.35,COc1cc2c(NC3CC4(CCN(C(C)C)CC4)C3)cc(-c3ccc(C)o3)nc2cc1OC1CC2(C1)CN(C)C2,IC50,'=',187,nM,6.73
"""CHEMBL3263626",,0,376.46,0,0.72,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CC(N)CC2CCCCC2)[C@@H](O)[C@H]1O,IC50,'=',179000,nM,
"""CHEMBL2336409",,0,461.53,1,5.65,Cc1cc(Nc2ccc(NC(=O)c3ccc(Nc4ccnc5ccccc45)cc3)cc2)nc(N)n1,IC50,'=',850,nM,6.07
"""CHEMBL4216144",,0,504.68,2,5.57,COc1cc2c(NC3CC4(CCN(C)C4)C3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,IC50,'=',201,nM,6.7
"""CHEMBL4208812",,0,518.7,2,5.96,COc1cc2c(NC3CCC34CCN(C)CC4)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,IC50,'=',123,nM,6.91
"""CHEMBL4649221",,0,501.47,1,3.73,Cc1ccc2c(n1)N(CC(=O)Nc1ccc3c(c1)OCO3)CC(c1nc(-c3cccc(F)c3)no1)C2=O,IC50,'=',28500,nM,4.54
"""CHEMBL4641323",,0,397.46,0,3.57,Cc1nccc(-c2cccc(NS(=O)(=O)c3cc(C(=O)O)cc(C)c3C)c2)n1,IC50,,,,
"""CHEMBL4217087",,0,492.66,1,5.21,COc1cc2c(N(C)C3CCN(C)CC3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,IC50,'=',1320,nM,5.88
"""CHEMBL4211622",,0,421.54,1,5.25,COc1cc2c(NC3CC3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,IC50,'=',1030,nM,5.99
"""CHEMBL4216799",,0,449.6,1,6.03,COc1cc2c(NC3CCCC3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,IC50,'=',1790,nM,5.75
"""CHEMBL4210910",,0,502.66,2,5.32,COc1cc2c(NC3CCN(C)CC3)cc(-c3ccc(C)o3)nc2cc1OC1CC2(C1)CN(C1CC1)C2,IC50,'=',494,nM,6.31
"""CHEMBL4212375",,0,466.58,0,4.22,CNC(=O)CCNc1cc(-c2ccc(C)o2)nc2cc(OCCCN3CCCC3)c(OC)cc12,IC50,'=',1080,nM,5.97
"""CHEMBL4212218",,0,504.68,2,5.57,COc1cc2c(NC3CCC34CCN(C)C4)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,IC50,'=',290,nM,6.54
"""CHEMBL4208812",,0,518.7,2,5.96,COc1cc2c(NC3CCC34CCN(C)CC4)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,IC50,'=',316.23,nM,6.5
"""CHEMBL3126649",,0,461.53,1,5.65,Cc1cc(Nc2cccc(NC(=O)c3ccccc3Nc3ccnc4ccccc34)c2)nc(N)n1,IC50,'=',38600,nM,4.41
"""CHEMBL3126645",,0,461.53,1,5.65,Cc1cc(Nc2ccc(NC(=O)c3cccc(Nc4ccnc5ccccc45)c3)cc2)nc(N)n1,IC50,'=',4110,nM,5.39
"""CHEMBL4212905",,0,506.69,2,5.68,CCc1ccc(-c2cc(NCC3CCN(C)CC3)c3cc(OC)c(OCCCN4CCCC4)cc3n2)o1,IC50,'=',40,nM,7.4
"""CHEMBL4207331",,0,504.68,2,5.43,COc1cc2c(NC3C4CCC3CN(C)C4)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,IC50,'=',235,nM,6.63
"""CHEMBL4208425",,0,490.65,1,5.04,COc1cc2c(NCC3CCN(C)CC3)cc(-c3ccc(C)o3)nc2cc1OC1CC2(C1)CN(C)C2,IC50,'=',475,nM,6.32
"""CHEMBL4170228",,0,479.63,0,4.58,COc1cc2c(NC3CCN(C)CC3)nc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,IC50,'=',2250,nM,5.65
"""CHEMBL4159597",,0,494.71,1,5.65,COc1cc2c(NC3CCN(C)CC3)cc(-c3ccc(C)s3)nc2cc1OCCCN1CCCC1,IC50,'=',230,nM,6.64
"""CHEMBL1916672",,0,263.3,0,1.84,CN(C)CC1CC(Cc2ccc([N+](=O)[O-])cc2)=NO1,IC50,'=',1600000,nM,
"""CHEMBL3109079",,0,442.45,0,4.01,O=C(O)[C@@H]1[C@H](Cc2c[nH]c3ccccc23)CCN1Sc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],IC50,'=',80000,nM,4.1
"""CHEMBL3109085",,0,402.39,0,3.28,O=C(O)[C@H](Cc1c[nH]c2ccccc12)NSc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],IC50,'=',40000,nM,4.4
"""CHEMBL563230",,0,396.43,1,-1.42,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CS[C@H]2CN[C@H](C(=O)O)C2)[C@@H](O)[C@H]1O,IC50,'>',100000,nM,
"""CHEMBL563938",,0,326.38,0,-1.28,NCCSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,IC50,'=',18000,nM,4.75
"""CHEMBL563024",,0,488.57,1,0.64,NC(CCSC[C@H]1O[C@@H](n2cnc3c(NCCc4ccccc4)ncnc32)[C@H](O)[C@@H]1O)C(=O)O,IC50,'=',27000,nM,4.57
"""CHEMBL560505",,0,534.6,2,0.61,COc1cc(CNc2ncnc3c2ncn3[C@@H]2O[C@H](CSCCC(N)C(=O)O)[C@@H](O)[C@H]2O)cc(OC)c1,IC50,'=',18000,nM,4.75
"""CHEMBL3126644",,0,461.53,1,5.65,Cc1cc(Nc2ccccc2NC(=O)c2ccc(Nc3ccnc4ccccc34)cc2)nc(N)n1,IC50,'=',35000,nM,4.46
"""CHEMBL3126647",,0,461.53,1,5.65,Cc1cc(Nc2ccccc2NC(=O)c2cccc(Nc3ccnc4ccccc34)c2)nc(N)n1,IC50,'=',174000,nM,
"""CHEMBL383475",,0,334.33,0,2.46,O=C(O)C(Cc1c[nH]c2ccccc12)N1C(=O)c2ccccc2C1=O,IC50,'=',50000,nM,4.3
"""CHEMBL418052",S-ADENOSYLHOMOCYSTEINE,0,384.42,1,-1.44,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,IC50,'=',4000,nM,5.4
"""CHEMBL1320181",,0,521.37,2,5.67,CCOc1cc(/C=C(\C#N)C(=O)Nc2cccc(C(=O)O)c2)ccc1OCc1ccc(Br)cc1,IC50,'=',5400,nM,5.27
"""CHEMBL1315592",,0,364.4,0,3.52,COC(=O)C1CCN(C(=O)c2cc(-c3ccco3)nc3ccccc23)CC1,IC50,'=',7310,nM,5.14
"""CHEMBL1371301",,0,453.4,0,4.41,CCN(CC)c1ccc(NC(=O)CCS(=O)(=O)c2ccc(Br)cc2)c(C)c1,IC50,'=',8640,nM,5.06
"""CHEMBL1485960",,0,342.38,0,2.51,CCOc1cccc(N2C(=O)/C(=C/c3ccco3)C(=O)NC2=S)c1,IC50,'=',4240,nM,5.37
"""CHEMBL1558192",,0,455.94,1,5.63,O=C(O)C(c1ccccc1)N1C(=O)/C(=C\c2ccc(-c3ccccc3Cl)o2)SC1=S,IC50,'=',4270,nM,5.37
"""CHEMBL1490332",,0,319.41,0,3.39,CCN(CC)CCn1nc2c3c(cccc3c1=O)-c1ccccc1-2,IC50,'=',11500,nM,4.94
"""CHEMBL1444349",,0,293.26,0,0.67,O=C1NC(=S)N/C1=C/c1cc2c(cc1[N+](=O)[O-])OCO2,IC50,'=',3850,nM,5.42
"""CHEMBL1471220",,0,319.36,0,3.17,O=C(COC(=O)c1cc2c(s1)CCC2)Nc1ccc(F)cc1,IC50,'=',10300,nM,4.99
"""CHEMBL1302528",,0,526.91,1,4.7,O=C(CN1C(=O)S/C(=C\c2ccc(-c3cc(C(=O)O)ccc3Cl)o2)C1=O)Nc1ccc2c(c1)OCO2,IC50,'>',99000,nM,
"""CHEMBL1863716",,0,485.61,0,3.94,Cc1ccc(-c2nn(-c3ccccc3)cc2C=C2SC(=S)N(CCS(=O)(=O)O)C2=O)cc1,IC50,'=',4930,nM,5.31
"""CHEMBL1967028",,0,339.4,0,2.51,CCc1ccc(/C(C)=N/NC(=O)CNC(=O)/C=C/c2ccco2)cc1,IC50,'=',6950,nM,5.16
"""CHEMBL1606403",,0,422.82,0,3.82,C=CCOC(=O)c1cc(-c2ccc(/C=C3\C(=O)NC(=O)C(C#N)=C3C)o2)ccc1Cl,IC50,'=',5000,nM,5.3
"""CHEMBL1439640",,0,345.45,0,3.38,COc1ccc(Cc2nnc(NC(=O)Cc3cccs3)s2)cc1,IC50,'=',4470,nM,5.35
"""CHEMBL555352",,0,564.67,2,2.3,NC(CCSC[C@H]1O[C@@H](n2cnc3c(NCCc4ccc(-c5ccccc5)cc4)ncnc32)[C@H](O)[C@@H]1O)C(=O)O,IC50,'=',5400,nM,5.27
"""CHEMBL1548829",,0,292.38,0,1.75,COC(=O)/C(C(C)=O)=C(\C=C\C=C\C=C\N(C)C)N(C)C,IC50,'=',8380,nM,5.08
"""CHEMBL560306",,0,475.53,1,-0.01,NC(CCSC[C@H]1O[C@@H](n2cnc3c(NCc4ccncc4)ncnc32)[C@H](O)[C@@H]1O)C(=O)O,IC50,'=',22000,nM,4.66
"""CHEMBL1458444",,0,385.38,0,1.1,NS(=O)(=O)c1ccc(NC(=O)COC(=O)c2ccc([N+](=O)[O-])s2)cc1,IC50,'=',25100,nM,4.6
"""CHEMBL1529334",,0,484.58,0,4.88,Cc1ccc(N2C(=O)NC(=O)/C(=C\c3cc(C)n(-c4sc5c(c4C#N)CCCC5)c3C)C2=O)cc1,IC50,'=',11100,nM,4.96
"""CHEMBL1386849",,0,435.47,0,2.88,Cc1ccc(C(=O)NN2CC(=O)C(c3nc(-c4cccc([N+](=O)[O-])c4)cs3)=C2N)cc1,IC50,'>',99000,nM,
"""CHEMBL599013",,0,385.38,0,3.96,O=C(O)c1ccccc1/C=N/NC(=O)c1cc(-c2ccco2)nc2ccccc12,IC50,'=',5400,nM,5.27
"""CHEMBL1730022",,0,249.27,0,3.44,Cn1c2ccccc2c2c(=O)oc3ccccc3c21,IC50,'>',99000,nM,
"""CHEMBL1706577",,0,359.36,0,4.4,O=C(N/N=C/c1cccc(F)c1)c1cc(-c2ccco2)nc2ccccc12,IC50,'=',4810,nM,5.32
"""CHEMBL1511981",,0,486.53,0,4.26,CSc1ccc(C=NNc2ccc(S(=O)(=O)Nc3ccccc3C(=O)O)cc2[N+](=O)[O-])cc1,IC50,'=',3260,nM,5.49
"""CHEMBL224857",,0,483.64,1,5.45,O=C(O)CCCCCN1C(=O)/C(=C/c2cn(-c3ccccc3)nc2-c2cccs2)SC1=S,IC50,'=',5560,nM,5.25
"""CHEMBL602400",,0,420.52,0,3.72,CCN(CC)CCNc1nc2cc(OC)c(OC)cc2c2nc(-c3ccccc3)nn12,IC50,'>',99000,nM,
"""CHEMBL551100",,0,352.42,0,-0.88,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CS[C@H]2CCNC2)[C@@H](O)[C@H]1O,IC50,'=',44000,nM,4.36
"""CHEMBL1875722",,0,531.57,1,5.12,COc1ccc(Oc2c(OC)cc(NCc3ccc(CN)cc3)c3ncccc23)cc1.O=C(O)/C=C/C(=O)O,IC50,'=',10300,nM,4.99
"""CHEMBL1381264",,0,450.52,0,3.18,CCS(=O)(=O)C1=NN2C(=N)/C(=C\c3ccc(SCc4ccco4)o3)C(=O)N=C2S1,IC50,'=',5710,nM,5.24
"""CHEMBL1411344",,0,313.34,0,1.1,O=C1NC(=S)NC(=O)C1=Cc1cccn1-c1ccc(O)cc1,IC50,'=',4820,nM,5.32
"""CHEMBL1438370",,0,476.41,0,4.2,Cc1c2cnn(CC(=O)Nc3c(F)c(F)cc(F)c3F)c(=O)c2c(C)n1Cc1ccccc1F,IC50,'=',7600,nM,5.12
"""CHEMBL1321933",,0,366.23,0,4.55,O=C(Nc1ccc(Cl)c(Cl)c1)Nc1nnc(-c2ccncc2)s1,IC50,'=',1290,nM,5.89
"""CHEMBL1315784",,0,472.5,0,3.33,O=S(=O)(c1cc(O)ccc1O)c1cccc2c(S(=O)(=O)c3cc(O)ccc3O)cccc12,IC50,'=',3810,nM,5.42
"""CHEMBL4170114",,0,478.64,1,5.18,COc1cc2c(NC3CCN(C)CC3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,IC50,'=',382,nM,6.42
"""CHEMBL4166822",,0,466.55,0,4.63,COc1cc2c(NC3CCN(C)CC3)cc(C(F)(F)F)nc2cc1OCCCN1CCCC1,IC50,'>',10000,nM,
"""CHEMBL3109077",,0,348.4,0,3.33,O=C(O)[C@@H]1[C@H](Cc2c[nH]c3ccccc23)CCN1C(=O)c1ccccc1,IC50,'=',98000,nM,4.01
"""CHEMBL1564869",,0,334.33,0,2.46,O=C(O)[C@H](Cc1c[nH]c2ccccc12)N1C(=O)c2ccccc2C1=O,IC50,'=',390000,nM,3.41
"""CHEMBL1533351",,0,457.58,0,3.13,CCOC(=O)c1c(-n2c(C)cc(C=C3C(=O)NC(=S)NC3=O)c2C)sc2c1CCCC2,IC50,'=',10000,nM,5
"""CHEMBL1358848",,0,209.2,0,0.11,O=C(c1ccc(=O)oc1)N1CCOCC1,IC50,'=',3670,nM,5.43
"""CHEMBL1372387",,0,466.54,0,3.9,O=C(O)CSc1cc(C(=O)c2ccccc2O)cn2c(=O)c3c4c(sc3nc12)CCCC4,IC50,'=',14100,nM,4.85
"""CHEMBL1434750",,0,498.81,0,4.97,O=C(O)CN1C(=O)/C(=C\c2cc(Br)ccc2OCc2ccc(Cl)cc2)SC1=S,IC50,'=',7360,nM,5.13
"""CHEMBL1481077",,0,388.38,0,4.05,Cc1ccc(C(=O)O)cc1-c1ccc(/C=C2/NC(=O)N(c3ccccc3)C2=O)o1,IC50,'=',11000,nM,4.96
"""CHEMBL212414",,0,444.45,0,3.02,Cc1ccc(NC(=O)CN2C(=O)N/C(=C\c3cccn3-c3cccc(C(=O)O)c3)C2=O)cc1,IC50,'=',6050,nM,5.22
"""CHEMBL1308055",,0,447.93,0,3.06,Cc1ccc(-n2cccc2/C=C2/C(=N)N3C(=NC2=O)SN=C3S(C)(=O)=O)cc1Cl,IC50,'=',7720,nM,5.11
"""CHEMBL1520297",,0,387.23,0,3.23,Cc1cc[n+](CC(=O)c2cccc([N+](=O)[O-])c2)c2ccccc12.[Br-],IC50,'>',99000,nM,
"""CHEMBL1360585",,0,410.47,0,2.12,C=C(C)C(=O)Nc1cccc(C2=NOC3(C2)C[C@@H](C(N)=O)N(C(=O)/C(C)=C/C)C3)c1,IC50,'=',1940,nM,5.71
"""CHEMBL1361920",,0,477.9,0,4.11,Cc1cc(/C=C2\C(=O)NC(=O)N(Cc3ccccc3)C2=O)c(C)n1-c1ccc(Cl)c(C(=O)O)c1,IC50,'=',3350,nM,5.47
"""CHEMBL3126648",,0,461.53,1,5.65,Cc1cc(Nc2ccc(NC(=O)c3ccccc3Nc3ccnc4ccccc34)cc2)nc(N)n1,IC50,'=',12300,nM,4.91
"""CHEMBL560045",,0,398.45,1,-1.13,Cc1nc(N)c2ncn([C@@H]3O[C@H](CSCCC(N)C(=O)O)[C@@H](O)[C@H]3O)c2n1,IC50,'=',6000,nM,5.22
"""CHEMBL4282866",,0,372.52,0,4.5,CCN(CC)S(=O)(=O)c1ccc(/C=C/c2nc3ccccc3s2)cc1,IC50,'>',100000,nM,
"""CHEMBL3414632",,0,521.43,2,2.03,CC(=O)NCCc1ccc(O)c(-c2cc3c(c(O)c2O)C(=O)c2cc(O)c(C(=O)O)c(C(=O)O)c2C3=O)c1,IC50,'=',19000,nM,4.72
"""CHEMBL597113",,0,409.19,0,2.61,O=C(O)COc1ccc(C(=O)c2cc(Br)ccc2OCC(=O)O)cc1,IC50,'=',212000,nM,
"""CHEMBL318782",Dichlon,0,227.05,0,2.75,O=C1C(Cl)=C(Cl)C(=O)c2ccccc21,IC50,'=',1600,nM,5.8
"""CHEMBL1440928",,0,329.83,0,3.83,CN(C)CCc1cc2c(c3c1ccc1ccccc13)OCO2.Cl,IC50,'>',99000,nM,
"""CHEMBL1320799",,0,294.29,0,1.56,NS(=O)(=O)c1ccc(N=Nc2ccc(O)nc2O)cc1,IC50,'=',7650,nM,5.12
"""CHEMBL1715550",,0,404.46,1,5.06,COc1cc(/C=C/C=C2/CC/C(=C/C=C/c3ccc(O)c(OC)c3)C2=O)ccc1O,IC50,'=',8220,nM,5.08
"""CHEMBL1423186",,0,322.3,0,0.67,O=C1CC(=O)NC(SCC(=O)Nc2ccccc2[N+](=O)[O-])=N1,IC50,'=',8510,nM,5.07
"""CHEMBL1380580",,0,255.25,0,4.43,Oc1[nH]c2ccccc2c1N=Nc1ccc(F)cc1,IC50,'=',19300,nM,4.71
"""CHEMBL1404761",,0,390.38,0,3.05,N=C1/C(=C/c2coc3ccccc3c2=O)C(=O)N=C2SC(c3ccco3)=NN12,IC50,'=',11600,nM,4.94
"""CHEMBL1503050",,0,191.19,0,1.5,O=C(O)Cc1c[nH]c2cccc(O)c12,IC50,'=',6740,nM,5.17
"""CHEMBL1978925",,0,410.81,0,3.73,O=C(N/N=C/c1ccc(OC(=O)c2ccccc2Cl)cc1)c1cc(O)cc(O)c1,IC50,'=',5400,nM,5.27
"""CHEMBL1566980",,0,473.38,0,4.95,O=C(CSc1nc(O)c2ccccc2n1)Nc1nc(-c2ccc(Br)cc2)cs1,IC50,'=',5120,nM,5.29
"""CHEMBL1403497",,0,208.17,0,0.25,O=C1CC(=O)N(Cc2ccco2)C(=O)N1,IC50,'=',1580,nM,5.8
"""CHEMBL1408320",,0,354.36,0,3.21,CC(C)N1C(=O)/C(=C/C=C/c2ccco2)C(=O)N(Cc2ccco2)C1=O,IC50,'=',8310,nM,5.08
"""CHEMBL1603637",,0,492.03,1,6.54,COc1ccc(/C=C2/C(=O)N(c3nc4ccccc4s3)N=C2CSc2ccc(Cl)cc2)cc1,IC50,'=',2860,nM,5.54
"""CHEMBL418052",S-ADENOSYLHOMOCYSTEINE,0,384.42,1,-1.44,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,IC50,'=',600,nM,6.22
"""CHEMBL1964442",,0,246.22,0,1.45,O=C(N/N=C/c1ccoc1)c1cc(O)cc(O)c1,IC50,'=',7090,nM,5.15
"""CHEMBL1423709",,0,343.38,0,1.99,Cn1cccc1/C=C1/C(=O)NC(=S)N(Cc2ccc(F)cc2)C1=O,IC50,'=',3550,nM,5.45
"""CHEMBL583555",,0,287.37,0,4.44,Cc1ccc2cc3c(N)c4c(C)ccc(C)c4nc3nc2c1,IC50,'>',99000,nM,
"""CHEMBL1310120",,0,255.07,0,2.89,CC1=C/C(=C\c2ccc(Br)o2)C(=O)O1,IC50,'=',4990,nM,5.3
"""CHEMBL4205373",,0,504.68,2,5.71,COc1cc2c(NC3CC4CCC(C3)N4C)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,IC50,'=',234,nM,6.63
"""CHEMBL4210432",,0,464.61,0,4.88,Cc1ccc(-c2cc(NC3CCN(C)CC3)c3cc(O)c(OCCCN4CCCC4)cc3n2)o1,IC50,'=',645,nM,6.19
"""CHEMBL4203186",,0,473.62,1,5.05,Cc1ccc(-c2cc(NC3CCN(C)CC3)c3cc(C#N)c(OCCCN4CCCC4)cc3n2)o1,IC50,'=',588,nM,6.23
"""CHEMBL4588797",,0,408.44,1,-0.96,N#Cc1cn([C@@H]2O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]2O)c2ncnc(N)c12,IC50,'=',150,nM,6.82
"""CHEMBL418052",S-ADENOSYLHOMOCYSTEINE,0,384.42,1,-1.44,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,IC50,'=',941,nM,6.03
"""CHEMBL1235825",,0,381.39,1,-2.24,CN(CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,IC50,'=',302000,nM,
"""CHEMBL2018855",,0,527.61,2,0.59,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CN(CCc2csc3ccccc23)CC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,IC50,'=',132000,nM,
"""CHEMBL83747",PSAMMAPLIN A,0,664.4,2,3.68,O=C(NCCSSCCNC(=O)/C(Cc1ccc(O)c(Br)c1)=N/O)/C(Cc1ccc(O)c(Br)c1)=N/O,IC50,'=',18.6,nM,7.73
"""CHEMBL1397916",,0,323.33,0,2.69,O=C(NNC(=O)c1ccccc1F)c1cccc(-n2cccc2)c1,IC50,'=',13900,nM,4.86
"""CHEMBL1612983",,0,505,2,5.23,Cc1cc(/C=C2\C(=O)NC(=O)N(c3ccc(Cl)cc3)C2=O)c(C)n1-c1sc2c(c1C#N)CCCC2,IC50,'=',9520,nM,5.02
"""CHEMBL1533230",,0,296.39,0,-1.11,CC(C)(CS(=O)(=O)[O-])NC(=O)CC[N+](C)(C)CCO,IC50,'=',3600,nM,5.44
"""CHEMBL1904582",,0,439.58,1,5.79,NC(CSC(c1ccccc1)(c1ccccc1)c1ccc(-c2ccccc2)cc1)C(=O)O,IC50,'=',9650,nM,5.01
"""CHEMBL1701761",,0,176.12,0,-2.81,O=CC(O)C1OC(=O)C(O)C1O,IC50,'=',14400,nM,4.84
"""CHEMBL4206035",,0,518.7,2,5.96,COc1cc2c(NC3CC4(CCN(C)CC4)C3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,IC50,'=',140,nM,6.85
"""CHEMBL4204482",,0,546.76,2,6.74,COc1cc2c(NC3CC4(CCN(C(C)C)CC4)C3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,IC50,'=',211,nM,6.68
"""CHEMBL418052",S-ADENOSYLHOMOCYSTEINE,0,384.42,1,-1.44,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,IC50,'=',200,nM,6.7
"""CHEMBL2171169",,0,540.67,1,2.25,CC(C)N(CCCNC(=O)Nc1ccc(C(C)(C)C)cc1)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,IC50,'=',2.9,nM,8.54
"""CHEMBL1571682",,0,386.88,0,3.13,CCN(CC)CCC(=O)Nc1cccc2c1C(=O)c1ccccc1C2=O.Cl,IC50,'=',6860,nM,5.16
"""CHEMBL1975801",,0,543,1,2.92,CCOC(=O)C1=C(C)N=c2s/c(=C/c3ccc(OCC(=O)O)c(OC)c3)c(=O)n2C1c1ccc(Cl)cc1,IC50,'=',10200,nM,4.99
"""CHEMBL1441143",,0,307.42,0,4.29,CCCCCCCCc1nnc(NC(=O)c2ccco2)s1,IC50,'=',42400,nM,4.37
"""CHEMBL1453126",,0,237.31,0,3.29,Cc1cc(C)c2c(N)c3cccc(C)c3nc2n1,IC50,'>',99000,nM,
"""CHEMBL1317569",,0,344.37,0,1.64,CC(=O)c1cccc(OCC(=O)N(C)CC(=O)NCc2ccco2)c1,IC50,'=',6090,nM,5.21
"""CHEMBL1566994",,0,459.51,0,2.41,COc1cc(NS(=O)(=O)c2ccc(NC(=S)NC(=O)/C=C/c3ccco3)cc2)ncn1,IC50,'=',2920,nM,5.54
"""CHEMBL1560128",,0,421.45,0,3.25,CCOC(=O)c1cc(-c2ccc(N3CCOCC3)cc2)nn1-c1ccccc1C(=O)O,IC50,'=',6990,nM,5.16
"""CHEMBL1519992",,0,282.3,0,3.45,Cc1ccc(-n2nc(-c3ccco3)cc2C(=O)O)c(C)c1,IC50,'=',18100,nM,4.74
"""CHEMBL2007178",,0,452.26,0,4.45,O=C(O)c1ccc(-n2cccc2/C=N\NC(=O)c2cc3cc(Br)ccc3o2)cc1,IC50,'=',4360,nM,5.36
"""CHEMBL1501577",,0,426.29,0,3.04,COC(=O)c1ccccc1NC(=O)CCS(=O)(=O)c1ccc(Br)cc1,IC50,'=',3690,nM,5.43
"""CHEMBL1561729",,0,373.37,0,3.27,O=C(O)c1ccc(-n2cccc2/C=C2/NC(=O)N(c3ccccc3)C2=O)cc1,IC50,'=',3830,nM,5.42
"""CHEMBL1587837",,0,552.61,2,5.3,COc1ccc(NS(=O)(=O)c2ccc(O)c(NC(=O)c3cc4c(C)nn(-c5ccc(F)cc5)c4s3)c2)cc1,IC50,'=',6920,nM,5.16
"""CHEMBL3414631",,0,284.27,0,1.09,O=C(O)[C@H](Cc1c[nH]c2ccccc12)N1C(=O)C=CC1=O,IC50,'=',20000,nM,4.7
"""CHEMBL3126651",,0,481.56,1,7.52,O=C(Nc1ccc(Nc2ccnc3ccccc23)cc1)c1ccc(Nc2ccnc3ccccc23)cc1,IC50,'=',33000,nM,4.48
"""CHEMBL3126651",,0,481.56,1,7.52,O=C(Nc1ccc(Nc2ccnc3ccccc23)cc1)c1ccc(Nc2ccnc3ccccc23)cc1,IC50,'=',650,nM,6.19
"""CHEMBL1469245",,0,469.52,0,3.45,COC(=O)c1c(NC(=O)COC(=O)c2ccc(NC(=O)CC#N)cc2)sc2c1CCCCC2,IC50,'=',3350,nM,5.47
"""CHEMBL1485277",,0,484.49,0,3.94,CCOc1ccc(C=NNc2ccc(S(=O)(=O)Nc3ccccc3C(=O)O)cc2[N+](=O)[O-])cc1,IC50,'=',5780,nM,5.24
"""CHEMBL1480378",,0,388.47,0,2.83,Cc1ccnc(NS(=O)(=O)c2ccc(NC(=O)Cc3cccs3)cc2)n1,IC50,'=',9160,nM,5.04
"""CHEMBL1521144",,0,396.86,0,4.15,O=C(CSc1nc(O)c2cnn(-c3ccccc3)c2n1)c1ccc(Cl)cc1,IC50,'=',9120,nM,5.04
"""CHEMBL1464280",,0,410.47,0,1.95,C=C(C)C(=O)Nc1cccc(C2=NOC3(C2)C[C@@H](C(N)=O)N(C(=O)C2(C)CC2)C3)c1,IC50,'=',1450,nM,5.84
"""CHEMBL1490134",,0,526.53,1,4.11,C=CCOc1ccc(C=NNc2ccc(S(=O)(=O)Nc3ccccc3C(=O)O)cc2[N+](=O)[O-])cc1OC,IC50,'=',5320,nM,5.27
