ID,SMILES,Data set
"""CHEMBL560105",NC(CCSCC1OC(n2cnc3c(=NCCCc4ccccc4)[nH]cnc32)C(O)C1O)C(=O)O,DNMT1
"""CHEMBL552763",NC(CCSCC1OC(n2cnc3c(=NCCc4ccc(-c5ccccc5)cc4)[nH]c(Cl)nc32)C(O)C1O)C(=O)O,DNMT1
"""CHEMBL1605668",COc1ccc(C(=O)C=Cc2ccc(-c3ccccc3)cc2)cc1CSCC(=O)O,DNMT1
"""CHEMBL2005181",Cc1cc(C)c2nc3sc(=Cc4ccc(-c5ccccc5C(=O)O)o4)c(=O)n3c2c1,DNMT1
"""CHEMBL1707222",COC1=C(Br)C(=O)c2nc(C)ccc2C1=O,DNMT1
"""CHEMBL374740",O=C1Nc2c(Cl)cc(Cl)cc2C1=O,DNMT1
"""CHEMBL1421559",Cc1oc2c(c1C(=O)c1ccc(Cl)cc1)C(=O)C(=O)c1ccccc1-2,DNMT1
"""CHEMBL1981657",N=C(NN=Cc1ccc(-c2ccc(O)c(C(=O)O)c2)o1)N[N+](=O)[O-],DNMT1
"""CHEMBL1464373",O=C(COC(=O)c1ccc(NS(=O)(=O)c2cccs2)cc1)NCc1ccco1,DNMT1
"""CHEMBL1509377",C=C(C)C(=O)Nc1cccc(C2=NOC3(C2)CC(C(N)=O)N(C(=O)COc2ccc(Cl)cc2)C3)c1,DNMT1
"""CHEMBL3126646",Cc1cc(=Nc2cccc(NC(=O)c3cccc(N=c4cc[nH]c5ccccc45)c3)c2)[nH]c(=N)[nH]1,DNMT1
"""CHEMBL1569215",O=C1NN(c2ccc(Cl)cc2)C(=O)C1=Cc1ccc(-c2cccc(C(=O)O)c2)o1,DNMT1
"""CHEMBL1607517",O=C1c2ccccc2-c2cccc3cccc1c23,DNMT1
"""CHEMBL617",CC(=O)OC=C1CSC2C(NC(=O)Cc3cccs3)C(=O)N2C1C(=O)O,DNMT1
"""CHEMBL1312212",COc1cccc(NS(=O)(=O)c2ccc3c(c2)C2C=CCC2C(c2ccc(C(=O)O)cc2)N3)c1,DNMT1
"""CHEMBL1181670",c1ccc2c(c1)C1=NCCN1c1ccccc1-2,DNMT1
"""CHEMBL1445488",CCOC(=O)c1sc2nc3c(SCC(=O)O)cc(C(=O)c4ccccc4O)cn3c(=O)c2c1C,DNMT1
"""CHEMBL1507881",C=c1c(=Cc2c(O)[nH]c(=O)n(-c3ccc4c(c3)OCO4)c2=O)cc(C)n1-c1cccc(C(=O)O)c1C,DNMT1
"""CHEMBL2336409",Cc1cc(=Nc2ccc(NC(=O)c3ccc(N=c4cc[nH]c5ccccc45)cc3)cc2)[nH]c(=N)[nH]1,DNMT1
"""CHEMBL564052",N=c1[nH]cnc2c1ncn2C1OC(CSC2CCNC2)C(O)C1O,DNMT1
"""CHEMBL539449",N=c1[nH]cnc2c1ncn2C1OC(CSC2CNC2)C(O)C1O,DNMT1
"""CHEMBL560768",OC1C(CSC2CCNC2)OC(n2cnc3c(=NCCc4ccc(-c5ccccc5)cc4)[nH]c(Cl)nc32)C1O,DNMT1
"""CHEMBL2063048",O=C1N=C(NCc2ccco2)NCN1,DNMT1
"""CHEMBL1975589",COC(=O)CC1OCC=C2CN3CCC45C(=Nc6c4cc(O)c(O)c6[N+](=O)[O-])C1C2CC35,DNMT1
"""CHEMBL1348946",N#Cc1c(SCC(=O)N=c2[nH]c3ccc(Br)cc3s2)sc2c(=O)cc(O)[nH]c12,DNMT1
"""CHEMBL1328733",O=C1NC(=S)N(c2ccccc2)C(=O)C1=Cc1ccco1,DNMT1
"""CHEMBL1456035",O=C(O)C1Nc2c(Cl)cc(Cl)c(Cl)c2C2C=CCC12,DNMT1
"""CHEMBL1346055",O=C(O)c1ccc(-n2cccc2CC2=NC(=O)N(c3cccc(Cl)c3)C2=O)cc1,DNMT1
"""CHEMBL2385821",Cc1cc(=Nc2cccc(NC(=O)c3ccc(N=c4cc[nH]c5ccccc45)cc3)c2)[nH]c(=N)[nH]1,DNMT1
"""CHEMBL2385821",Cc1cc(=Nc2cccc(NC(=O)c3ccc(N=c4cc[nH]c5ccccc45)cc3)c2)[nH]c(=N)[nH]1,DNMT1
"""CHEMBL2336409",Cc1cc(=Nc2ccc(NC(=O)c3ccc(N=c4cc[nH]c5ccccc45)cc3)cc2)[nH]c(=N)[nH]1,DNMT1
"""CHEMBL3126652",Cc1cc(=Nc2ccc(NC(=O)c3ccc(N=c4cc(C)[nH]c(=N)[nH]4)cc3)cc2)[nH]c(=N)[nH]1,DNMT1
"""CHEMBL559283",O=C(O)C1CC(SCC2OC(n3cnc4c(=NCCc5ccc(-c6ccccc6)cc5)[nH]c(Cl)nc43)C(O)C2O)CN1,DNMT1
"""CHEMBL4164446",COc1cc2c(=NC3CCN(C)CC3)cc(-c3ccc(C#N)o3)[nH]c2cc1OCCCN1CCCC1,DNMT1
"""CHEMBL4159604",COc1cc2c(=NC3CCN(C)CC3)cc(C3CCCCC3)[nH]c2cc1OCCCN1CCCC1,DNMT1
"""CHEMBL4167925",COc1cc2c(=NC3CCN(C)CC3)cc(C3CCOCC3)[nH]c2cc1OCCCN1CCCC1,DNMT1
"""CHEMBL382617",Cc1ccn2c(CCc3nnc4cc(C)ccn34)nnc2c1,DNMT1
"""CHEMBL3109076",O=C(O)C1C(Cc2c[nH]c3ccccc23)CCN1C(=O)c1ccc2ccccc2c1,DNMT1
"""CHEMBL564768",N=c1[nH]c(Cl)nc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O,DNMT1
"""CHEMBL550440",N=c1[nH]cnc2c1ncn2C1OC(CSC2CCNC(C(=O)O)C2)C(O)C1O,DNMT1
"""CHEMBL560106",N=c1[nH]c(Cl)nc2c1ncn2C1OC(CSC2CNC(C(=O)O)C2)C(O)C1O,DNMT1
"""CHEMBL538692",N=c1[nH]c(F)nc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O,DNMT1
"""CHEMBL560165",COc1nc(=N)c2ncn(C3OC(CSCCC(N)C(=O)O)C(O)C3O)c2[nH]1,DNMT1
"""CHEMBL1414679",CC1=C(C(=O)OC(C)C)C(c2ccc(Cl)cc2)n2c(sc(=Cc3ccc(OCC(=O)O)cc3)c2=O)=N1,DNMT1
"""CHEMBL1988862",O=C1c2sccc2-c2cccc3cccc1c23,DNMT1
"""CHEMBL1713628",Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1N=Nc1ccccc1[N+](=O)[O-],DNMT1
"""CHEMBL1412087",CCOc1cc(C=C2C(=O)N(c3nc(-c4ccc(Br)cc4)cs3)N=C2c2ccccc2)ccc1O,DNMT1
"""CHEMBL1389315",O=S(=O)(Nc1c(S(=O)(=O)c2ccccc2)c2nc3ccccc3nc2n1C1CCCCC1)c1ccccc1,DNMT1
"""CHEMBL1333249",Cn1c(N)c(C(=O)COC(=O)c2cc(-c3ccco3)nc3ccccc23)c(=O)n(C)c1=O,DNMT1
"""CHEMBL1902527",ClN=C1C=CC=CC1=NCl,DNMT1
"""CHEMBL1424189",CCOC(=O)C1=C(C)N=c2sc(=Cc3ccc(OCC(=O)O)cc3)c(=O)n2C1c1ccc(Cl)cc1,DNMT1
"""CHEMBL1551448",COc1ccc(NC(=O)CN(C)C(=O)c2cc(-c3ccco3)nc3ccccc23)cc1,DNMT1
"""CHEMBL1231795",COc1cc2c(=NC3CCN(C(C)C)CC3)[nH]c(C3CCCCC3)nc2cc1OCCCN1CCCC1,DNMT1
"""CHEMBL418052",N=c1[nH]cnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O,DNMT1
"""CHEMBL551578",COC(=O)C1CC(SCC2OC(n3cnc4c(=N)[nH]cnc43)C(O)C2O)CN1,DNMT1
"""CHEMBL555257",O=C(O)C1CC(SCC2OC(n3cnc4c(=NCCc5ccc(-c6ccccc6)cc5)[nH]cnc43)C(O)C2O)CN1,DNMT1
"""CHEMBL1368108",C=C(C)C(=O)Nc1cccc(C2=NOC3(C2)CC(C(N)=O)N(C(=O)C(=C)C)C3)c1,DNMT1
"""CHEMBL1434555",Cc1ccc(NC(=O)CN(C)C(=O)c2cccc(-n3cccc3)c2)cc1,DNMT1
"""CHEMBL3126646",Cc1cc(=Nc2cccc(NC(=O)c3cccc(N=c4cc[nH]c5ccccc45)c3)c2)[nH]c(=N)[nH]1,DNMT1
"""CHEMBL563782",N=c1[nH]cnc2c1ncn2C1OC(CSCC2CCCN2)C(O)C1O,DNMT1
"""CHEMBL538627",N=c1[nH]c(Cl)nc2c1ncn2C1OC(CSC2CCNC2)C(O)C1O,DNMT1
"""CHEMBL551174",OC1C(CSC2CCNC2)OC(n2cnc3c(=NCCc4ccc(-c5ccccc5)cc4)[nH]cnc32)C1O,DNMT1
"""CHEMBL115145",O=C(O)c1cc(Cc2ccc(O)c(C(=O)O)c2)ccc1O,DNMT1
"""CHEMBL4205107",COc1cc2c(=NCCO)cc(-c3ccc(C)o3)[nH]c2cc1OCCCN1CCCC1,DNMT1
"""CHEMBL4217332",COc1cc2c(=NC3CCN(C)C(=O)C3)cc(-c3ccc(C)o3)[nH]c2cc1OCCCN1CCCC1,DNMT1
"""CHEMBL4162206",COc1cc2c(=NC3CCN(C(C)C)CC3)cc(C3CCCCC3)[nH]c2cc1OCCCN1CCCC1,DNMT1
"""CHEMBL4174724",COc1cc2c(=NC3CCN(C)CC3)cc(-c3ccccc3)[nH]c2cc1OCCCN1CCCC1,DNMT1
"""CHEMBL4175132",COc1cc2c(=NC3CCN(C)CC3)cc(-c3ccccc3C)[nH]c2cc1OCCCN1CCCC1,DNMT1
"""CHEMBL4175084",COc1cc2c(=NC3CCN(C)CC3)cc(-c3ccc(CO)o3)[nH]c2cc1OCCCN1CCCC1,DNMT1
"""CHEMBL3109078",O=C(O)C1C(Cc2c[nH]c3ccccc23)CCN1C(=O)c1ccccc1,DNMT1
"""CHEMBL1520133",CN(c1ccccc1)c1ccc(C=C(CCC(=O)O)c2nc3ccccc3s2)cc1[N+](=O)[O-],DNMT1
"""CHEMBL1505688",O=C(O)CCCCCN1C(=O)C(=Cc2cn(-c3ccccc3)nc2-c2cccs2)SC1=S,DNMT1
"""CHEMBL4214834",Cc1ccc(-c2cc(=NC3CCN(C)CC3)c3cc(OC(F)(F)F)c(OCCCN4CCCC4)cc3[nH]2)o1,DNMT1
"""CHEMBL4212380",CCc1ccc(-c2cc(=NC3CCN(C)CC3)c3cc(OC)c(OCCCN4CCOCC4)cc3[nH]2)o1,DNMT1
"""CHEMBL4216593",COc1cc2c(=NC3CC4(CCN(C(C)C)CC4)C3)cc(-c3ccc(C)o3)[nH]c2cc1OC1CC2(C1)CN(C)C2,DNMT1
"""CHEMBL2336409",Cc1cc(=Nc2ccc(NC(=O)c3ccc(N=c4cc[nH]c5ccccc45)cc3)cc2)[nH]c(=N)[nH]1,DNMT1
"""CHEMBL4216144",COc1cc2c(=NC3CC4(CCN(C)C4)C3)cc(-c3ccc(C)o3)[nH]c2cc1OCCCN1CCCC1,DNMT1
"""CHEMBL4208812",COc1cc2c(=NC3CCC34CCN(C)CC4)cc(-c3ccc(C)o3)[nH]c2cc1OCCCN1CCCC1,DNMT1
"""CHEMBL4649221",Cc1ccc2c(n1)N(CC(=O)Nc1ccc3c(c1)OCO3)CC(c1nc(-c3cccc(F)c3)no1)C2=O,DNMT1
"""CHEMBL4217087",COc1cc2c(N(C)C3CCN(C)CC3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,DNMT1
"""CHEMBL4211622",COc1cc2c(=NC3CC3)cc(-c3ccc(C)o3)[nH]c2cc1OCCCN1CCCC1,DNMT1
"""CHEMBL4216799",COc1cc2c(=NC3CCCC3)cc(-c3ccc(C)o3)[nH]c2cc1OCCCN1CCCC1,DNMT1
"""CHEMBL4210910",COc1cc2c(=NC3CCN(C)CC3)cc(-c3ccc(C)o3)[nH]c2cc1OC1CC2(C1)CN(C1CC1)C2,DNMT1
"""CHEMBL4212375",CNC(=O)CCN=c1cc(-c2ccc(C)o2)[nH]c2cc(OCCCN3CCCC3)c(OC)cc12,DNMT1
"""CHEMBL4212218",COc1cc2c(=NC3CCC34CCN(C)C4)cc(-c3ccc(C)o3)[nH]c2cc1OCCCN1CCCC1,DNMT1
"""CHEMBL4208812",COc1cc2c(=NC3CCC34CCN(C)CC4)cc(-c3ccc(C)o3)[nH]c2cc1OCCCN1CCCC1,DNMT1
"""CHEMBL3126649",Cc1cc(=Nc2cccc(NC(=O)c3ccccc3N=c3cc[nH]c4ccccc34)c2)[nH]c(=N)[nH]1,DNMT1
"""CHEMBL3126645",Cc1cc(=Nc2ccc(NC(=O)c3cccc(N=c4cc[nH]c5ccccc45)c3)cc2)[nH]c(=N)[nH]1,DNMT1
"""CHEMBL4212905",CCc1ccc(-c2cc(=NCC3CCN(C)CC3)c3cc(OC)c(OCCCN4CCCC4)cc3[nH]2)o1,DNMT1
"""CHEMBL4207331",COc1cc2c(=NC3C4CCC3CN(C)C4)cc(-c3ccc(C)o3)[nH]c2cc1OCCCN1CCCC1,DNMT1
"""CHEMBL4208425",COc1cc2c(=NCC3CCN(C)CC3)cc(-c3ccc(C)o3)[nH]c2cc1OC1CC2(C1)CN(C)C2,DNMT1
"""CHEMBL4170228",COc1cc2c(=NC3CCN(C)CC3)[nH]c(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,DNMT1
"""CHEMBL4159597",COc1cc2c(=NC3CCN(C)CC3)cc(-c3ccc(C)s3)[nH]c2cc1OCCCN1CCCC1,DNMT1
"""CHEMBL3109079",O=C(O)C1C(Cc2c[nH]c3ccccc23)CCN1Sc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],DNMT1
"""CHEMBL3109085",O=C(O)C(Cc1c[nH]c2ccccc12)NSc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],DNMT1
"""CHEMBL563938",N=c1[nH]cnc2c1ncn2C1OC(CSCCN)C(O)C1O,DNMT1
"""CHEMBL563024",NC(CCSCC1OC(n2cnc3c(=NCCc4ccccc4)[nH]cnc32)C(O)C1O)C(=O)O,DNMT1
"""CHEMBL560505",COc1cc(CN=c2[nH]cnc3c2ncn3C2OC(CSCCC(N)C(=O)O)C(O)C2O)cc(OC)c1,DNMT1
"""CHEMBL3126644",Cc1cc(=Nc2ccccc2NC(=O)c2ccc(N=c3cc[nH]c4ccccc34)cc2)[nH]c(=N)[nH]1,DNMT1
"""CHEMBL383475",O=C(O)C(Cc1c[nH]c2ccccc12)N1C(=O)c2ccccc2C1=O,DNMT1
"""CHEMBL418052",N=c1[nH]cnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O,DNMT1
"""CHEMBL1320181",CCOc1cc(C=C(C#N)C(=O)Nc2cccc(C(=O)O)c2)ccc1OCc1ccc(Br)cc1,DNMT1
"""CHEMBL1315592",COC(=O)C1CCN(C(=O)c2cc(-c3ccco3)nc3ccccc23)CC1,DNMT1
"""CHEMBL1371301",CCN(CC)c1ccc(NC(=O)CCS(=O)(=O)c2ccc(Br)cc2)c(C)c1,DNMT1
"""CHEMBL1485960",CCOc1cccc(N2C(=O)C(=Cc3ccco3)C(=O)NC2=S)c1,DNMT1
"""CHEMBL1558192",O=C(O)C(c1ccccc1)N1C(=O)C(=Cc2ccc(-c3ccccc3Cl)o2)SC1=S,DNMT1
"""CHEMBL1490332",CCN(CC)CCn1nc2c3c(cccc3c1=O)-c1ccccc1-2,DNMT1
"""CHEMBL1444349",O=C1NC(=S)N=C1Cc1cc2c(cc1[N+](=O)[O-])OCO2,DNMT1
"""CHEMBL1471220",O=C(COC(=O)c1cc2c(s1)CCC2)Nc1ccc(F)cc1,DNMT1
"""CHEMBL1863716",Cc1ccc(-c2nn(-c3ccccc3)cc2C=C2SC(=S)N(CCS(=O)(=O)O)C2=O)cc1,DNMT1
"""CHEMBL1967028",CCc1ccc(C(C)=NNC(=O)C=NC(=O)CCc2ccco2)cc1,DNMT1
"""CHEMBL1606403",C=CCOC(=O)c1cc(-c2ccc(C=c3c(=O)[nH]c(O)c(C#N)c3=C)o2)ccc1Cl,DNMT1
"""CHEMBL1439640",COc1ccc(Cc2n[nH]c(=NC(=O)Cc3cccs3)s2)cc1,DNMT1
"""CHEMBL555352",NC(CCSCC1OC(n2cnc3c(=NCCc4ccc(-c5ccccc5)cc4)[nH]cnc32)C(O)C1O)C(=O)O,DNMT1
"""CHEMBL1548829",COC(=O)C(C(C)=O)=C(C=CC=CC=CN(C)C)N(C)C,DNMT1
"""CHEMBL560306",NC(CCSCC1OC(n2cnc3c(=NCc4ccncc4)[nH]cnc32)C(O)C1O)C(=O)O,DNMT1
"""CHEMBL1458444",NS(=O)(=O)c1ccc(NC(=O)COC(=O)c2ccc([N+](=O)[O-])s2)cc1,DNMT1
"""CHEMBL1529334",C=c1c(=Cc2c(O)[nH]c(=O)n(-c3ccc(C)cc3)c2=O)cc(C)n1-c1sc2c(c1C#N)CCCC2,DNMT1
"""CHEMBL599013",O=C(O)c1ccccc1C=NNC(=O)c1cc(-c2ccco2)nc2ccccc12,DNMT1
"""CHEMBL1706577",O=C(NN=Cc1cccc(F)c1)c1cc(-c2ccco2)nc2ccccc12,DNMT1
"""CHEMBL1511981",CSc1ccc(C=NNc2ccc(S(=O)(=O)Nc3ccccc3C(=O)O)cc2[N+](=O)[O-])cc1,DNMT1
"""CHEMBL224857",O=C(O)CCCCCN1C(=O)C(=Cc2cn(-c3ccccc3)nc2-c2cccs2)SC1=S,DNMT1
"""CHEMBL551100",N=c1[nH]cnc2c1ncn2C1OC(CSC2CCNC2)C(O)C1O,DNMT1
"""CHEMBL1875722",COc1ccc(Oc2c(OC)cc(NCc3ccc(CN)cc3)c3ncccc23)cc1,DNMT1
"""CHEMBL1381264",CCS(=O)(=O)C1=NN2C(=N)C(=Cc3ccc(SCc4ccco4)o3)C(=O)N=C2S1,DNMT1
"""CHEMBL1411344",O=C1NC(=S)NC(=O)C1=Cc1cccn1-c1ccc(O)cc1,DNMT1
"""CHEMBL1438370",Cc1c2cnn(CC(=O)Nc3c(F)c(F)cc(F)c3F)c(=O)c2c(C)n1Cc1ccccc1F,DNMT1
"""CHEMBL1321933",O=C(N=c1[nH]nc(-c2ccncc2)s1)Nc1ccc(Cl)c(Cl)c1,DNMT1
"""CHEMBL1315784",O=S(=O)(c1cc(O)ccc1O)c1cccc2c(S(=O)(=O)c3cc(O)ccc3O)cccc12,DNMT1
"""CHEMBL4170114",COc1cc2c(=NC3CCN(C)CC3)cc(-c3ccc(C)o3)[nH]c2cc1OCCCN1CCCC1,DNMT1
"""CHEMBL3109077",O=C(O)C1C(Cc2c[nH]c3ccccc23)CCN1C(=O)c1ccccc1,DNMT1
"""CHEMBL1564869",O=C(O)C(Cc1c[nH]c2ccccc12)N1C(=O)c2ccccc2C1=O,DNMT1
"""CHEMBL1533351",C=c1c(=Cc2c(O)[nH]c(=S)[nH]c2=O)cc(C)n1-c1sc2c(c1C(=O)OCC)CCCC2,DNMT1
