SMILES,Data set
CC(=O)C(N)C(O)O,FDA
N=c1[nH]cnc2c1ncn2C1OC(CO[PH](=O)(=O)O[PH](=O)(=O)OCC2OC(N3C=CCC(C(N)=O)=C3)C(O)C2O)C(O)C1O,FDA
N=c1[nH]c(=O)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,FDA
CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O,FDA
CC(C)C(N)C(=O)O,FDA
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CCO,FDA
Cc1c(C)c2c(c(C)c1O)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,FDA
Cc1ncc(CO)c(CO)c1O,FDA
O=C(O)CCCCC1CCSS1,FDA
C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C,FDA
CC1=CC(=O)c2ccccc2C1=O,FDA
N=c1[nH]cnc2[nH]cnc12,FDA
NC(=O)CC(N)C(=O)O,FDA
CCC(C)C(=O)OC1CC(O)C=C2C=CC(C)C(CCC(O)CC(O)CC(=O)O)C21,FDA
COCCCCC(=NOCCN)c1ccc(C(F)(F)F)cc1,FDA
CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)C(C(=O)O)C(C)C,FDA
CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1C(C(=O)O)CC2CCCC21,FDA
CC(Cc1ccc(O)c(O)c1)C(C)Cc1ccc(O)c(O)c1,FDA
CC1(C)OC2CC3C4CC(F)=C5CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)CO)O1,FDA
NCC(CC(=O)O)c1ccc(Cl)cc1,FDA
CC(N)Cc1ccccc1,FDA
CSCCC(NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(N)=O,FDA
CN1CCCC1c1cccnc1,FDA
CC1OC2(CS1)CN1CCC2CC1,FDA
O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)NC1=O,FDA
COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1,FDA
CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,FDA
C#CC(O)(C=CCl)CC,FDA
CC(Cc1ccc(O)c(O)c1)(NN)C(=O)O,FDA
CC(C)(N)Cc1ccccc1,FDA
CC(C)NCCCC1(C(N)=O)c2ccccc2-c2ccccc21,FDA
COc1cccc(C2(O)CCCCC2CN(C)C)c1,FDA
N=c1[nH]cnc2c1ncn2C1OC(CO)C(O)C1O,FDA
CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,FDA
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,FDA
Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(Cc3sc(=O)[nH]c3O)cc1)O2,FDA
CCOC(=O)C1=CC(OC(CC)CC)C(NC(C)=O)C(N)C1,FDA
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,FDA
Cn1c(=O)c2c(ncn2C)n(C)c1=O,FDA
C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,FDA
CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,FDA
CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,FDA
CCc1[nH]c(=N)[nH]c(=N)c1-c1ccc(Cl)cc1,FDA
COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC,FDA
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)CN(C)C(C)C(O)C1(C)O,FDA
Clc1ccccc1CN1CCc2sccc2C1,FDA
O=C(OC1CC2CCC(C1)[N+]21CCCC1)C(O)(c1ccccc1)c1ccccc1,FDA
COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2,FDA
COc1ccc(OC)c(C(O)CNC(=O)CN)c1,FDA
COc1ccnc(C[S+]([O-])c2nc3cc(OC(F)F)ccc3[nH]2)c1OC,FDA
Cc1cccc(N=c2cc[nH]cc2S(=O)(=O)NC(=O)NC(C)C)c1,FDA
CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,FDA
CN1CCCC1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12,FDA
CN=C(NC)NCc1ccccc1,FDA
COc1c(N2CC3CCCNC3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,FDA
CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,FDA
Cc1c(O)cccc1C(=O)NC(CSc1ccccc1)C(O)CN1CC2CCCCC2CC1C(=O)NC(C)(C)C,FDA
CCC(NC(C)C)C(O)c1ccc(O)c(O)c1,FDA
c1cc2c(cc1C1OCC3C(c4ccc5c(c4)OCO5)OCC13)OCO2,BIOFACQUIM
C=C(C)C(C)(C)CCC(C)C1CCC2(C)C3CCC4C(C)(C)C5CCC4(O5)C3(C)CCC12C,BIOFACQUIM
C=C(C)C1(OO)CCC2(C)CCCC(C)(N=C=S)C2C1,BIOFACQUIM
