ID,SMILES_no_chiral,SMILES_chiral,NPL_score
FQNP38,CC(=O)c1cc(C)c(O)c(C)c1O,CC(=O)c1cc(C)c(O)c(C)c1O,0.572
FQNP580,CCC(C)C(=O)C(C)c1cc(O)c(C)c(O)c1C=O,CCC(C)C(=O)C(C)c1cc(O)c(C)c(O)c1C=O,1.226
FQNP536,CC(=O)OC(C)(C)CCC(=O)C(C)(C)C1C(O)CC2(C)C3CCC4C(CC(O)C(C)C4(C)C)C3(C)C(=O)CC12C,CC(=O)OC(C)(C)CCC(=O)C(C)(C)[C@H]1C(O)C[C@@]2(C)C3CCC4[C@@H](CC(O)C(C)C4(C)C)C3(C)C(=O)CC12C,2.237
FQNP282,C=C(C)C(C)(C)CCC(C)C1CCC2(C)C3CCC4C(C)(C)C(C(=O)C=Cc5ccc(O)cc5)CCC45CC35CCC12C,C=C(C)C(C)(C)CC[C@@H](C)[C@H]1CC[C@@]2(C)C3CCC4C(C)(C)C(C(=O)C=Cc5ccc(O)cc5)CC[C@@]45C[C@@]35CC[C@]12C,2.413
FQNP468,CC(=O)C=CCCCCCCCCCCc1ccc2c(c1)OCO2,CC(=O)C=CCCCCCCCCCCc1ccc2c(c1)OCO2,0.843
FQNP464,CC(=O)C=CCCCCCCCCCCCCc1ccccc1,CC(=O)C=CCCCCCCCCCCCCc1ccccc1,0.719
FQNP469,CC(=O)C=CCCCCCCCCCCCCc1ccc2c(c1)OCO2,CC(=O)C=CCCCCCCCCCCCCc1ccc2c(c1)OCO2,0.778
FQNP115,C=CC(C)(O)CCCC(C)C(=O)C=CC(C)(C)O,C=CC(C)(O)CCCC(C)C(=O)/C=C/C(C)(C)O,2.227
FQNP139,CC1OC(Oc2cc(O)c3c(=O)c(OC4OC(C)C(O)C(O)C4O)c(-c4ccc(O)cc4)oc3c2)C(O)C(O)C1O,C[C@@H]1O[C@@H](Oc2cc(O)c3c(=O)c(O[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)c(-c4ccc(O)cc4)oc3c2)[C@H](O)[C@H](O)[C@H]1O,1.592
FQNP197,CC1OC(Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)C(O)C(O)C1O,C[C@@H]1O[C@@H](Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)[C@H](O)[C@H](O)[C@H]1O,2.165
FQNP652,O=C1CC(c2ccc(O)cc2)Oc2cc(OC3OC(CO)C(O)C(O)C3O)cc(O)c21,O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc(O)c21,2.165
FQNP21,O=c1cc(-c2ccc(O)cc2)oc2cc(OC3OC(CO)C(O)C(O)C3O)cc(O)c12,O=c1cc(-c2ccc(O)cc2)oc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc(O)c12,1.934
FQNP88,COc1cc(=O)oc2c(OC3OC(CO)C(O)C(O)C3O)ccc(C)c12,COc1cc(=O)oc2c(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc(C)c12,1.691
FQNP622,CC1=CC(OC2OC(CO)C(O)C(O)C2O)C(C(C)C)C(O)C1O,CC1=C[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](C(C)C)[C@@H](O)[C@H]1O,2.456
FQNP623,CC1=CC(OC2OC(CO)C(O)C(O)C2O)C(C(C)C)CC1O,CC1=C[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](C(C)C)C[C@H]1O,2.681
FQNP273,CCC(CCC(C)C1CCC2C3CC=C4CC(OC5OC(CO)C(O)C(O)C5O)CCC4(C)C3CCC12C)C(C)C,CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C,2.689
FQNP19,CC1CCC23COC(=O)C2=CC(OC2OC(CO)C(O)C(O)C2O)CC3C1(C)CCc1ccoc1,C[C@@H]1CC[C@@]23COC(=O)C2=CC(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)CC3[C@@]1(C)CCc1ccoc1,3.025
FQNP17,COc1oc(O)cc1CCC1(C)C(C)CCC23COC(=O)C2=CC(OC2OC(CO)C(O)C(O)C2O)CC31,COc1oc(O)cc1CC[C@]1(C)C2CC(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)=CC3C(=O)OC[C@]32CC[C@H]1C,2.676
FQNP16,CC1CCC23COC(=O)C2=CC(OC2OC(CO)C(O)C(O)C2O)CC3C1(C)CCc1ccoc1O,C[C@@H]1CC[C@@]23COC(=O)C2=CC(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)CC3[C@@]1(C)CCc1ccoc1O,2.783
FQNP196,O=c1c(OC2OC(CO)C(O)C(O)C2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,O=c1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,2.16
FQNP582,CC1OC(OC2C(CO)OC(OC3C(CO)OC(O)C(O)C3O)C(O)C2O)C(O)C(O)C1NC1C=C(CO)C(O)C(O)C1O,C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,1.829
FQNP195,O=c1c(OC2OC(CO)C(O)C(O)C2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,O=c1c(O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,2.16
